Easting (m),Northing (m),Elevation (m),Gravity Anomaly (mGal)
314318.643,4834109.049,1622.8,0
285025.536,4871086.942,1851.2,-33.1813
275919.083,4903826.688,2300.608,-22.9612
277234.658,4903589.289,2294.348,-21.8923
278202.749,4902886.715,2341.801,-23.0068
279161.263,4902090.876,2391.328,-22.7843
280097.123,4901454.703,2399.316,-22.6056
281159.104,4900462.963,2322.523,-24.4867
282856.916,4900043.169,2268.178,-30.5036
282618.552,4898357.907,2314.238,-28.7342
282492.226,4897547.81,2313.724,-27.8213
283282.141,4896974.918,2323.537,-24.9429
283086.006,4895739.575,2346.809,-24.3548
283151.395,4894672.147,2337.444,-24.9175
283436.248,4893409.387,2339.447,-25.407
283133.875,4892477.989,2397.498,-20.7635
282302.088,4891603.735,2413.359,-18.4686
281992.463,4890607.674,2452.518,-15.6983
314318.643,4834109.049,1622.8,0
314318.643,4834109.049,1622.8,0
303494.905,4834593.329,1652.757,-9.73936
304291.518,4834564.56,1645.838,-9.55561
305815.234,4834533.578,1633.957,-6.22122
307227.769,4834484.061,1633.189,-10.7419
309189.872,4834540.235,1648.489,-14.5469
310364.068,4834379.651,1642.764,-14.7591
311322.626,4834351.439,1630.103,-13.9666
311966.699,4834327.305,1623.243,-12.4355
313563.57,4834295.26,1612.063,-5.69764
314652.42,4834471.243,1630.144,0.274916
314318.643,4834109.049,1622.8,0
312839.321,4839289.087,1667.687,-2.18819
312134.488,4839166.777,1631.76,-9.19018
311717.871,4839182.145,1632.871,-11.8243
311228.103,4839196.662,1632.428,-13.3164
310619.308,4839214.387,1633.15,-13.5664
309440.613,4839243.696,1637.031,-12.8189
307675.383,4839343.257,1638.207,-13.1964
314318.643,4834109.049,1622.8,0
314318.643,4834109.049,1622.8,0
315152.982,4833460.866,1614.465,0.979716
315003.106,4833296.234,1606.935,-0.625357
314751.634,4833441.393,1607.656,-1.59368
314540.838,4833517.402,1607.899,-2.45234
314343.288,4833478.923,1607.168,-3.5534
313915.149,4833482.981,1609.246,-6.07908
314044.251,4833472.595,1608.843,-5.34903
313588.531,4833482.77,1609.701,-7.9079
312551.418,4833515.274,1611.303,-11.8802
314318.643,4834109.049,1622.8,0
314318.643,4834109.049,1622.8,0
306606.653,4832570.466,1623.241,-15.756
305067.704,4832957.262,1631.168,-16.7361
308297.416,4832853.944,1640.312,-12.0122
314318.643,4834109.049,1622.8,0
316246.717,4833441.448,1621.248,3.26502
317200.158,4833391.365,1625.641,3.5909
317621.731,4833396.525,1628.554,5.12262
317973.274,4833386.827,1628.635,6.73793
318803.642,4833365.881,1653.165,9.1656
319323.49,4833349.407,1673.672,11.294
320575.12,4835101.685,1842.818,12.7601
319912.315,4834289.851,1739.673,11.7791
314318.643,4834109.049,1622.8,0
285025.536,4871086.942,1851.2,-33.1813
275203.522,4864174.997,2507.578,-26.2612
274019.039,4863740.223,2452.929,-33.9253
273033.658,4863082.572,2421.549,-33.6596
272937.601,4861830.447,2411.762,-32.1885
271907.654,4860767.12,2381.607,-33.6473
270951.891,4859586.231,2364.399,-36.453
270418.97,4858487.686,2374.733,-37.2558
270593.445,4857457.13,2382.412,-38.7217
270805.986,4856277.344,2363.27,-40.292
269786.43,4857701.931,2326.922,-40.9774
268974.806,4859152.216,2302.05,-40.4721
267176.828,4860387.026,2265.508,-41.8953
265504.425,4861745.267,2254.762,-39.7218
263790.028,4863487.461,2228.053,-37.2783
260849.133,4864347.345,2202.261,-35.6712
257632.494,4864720.8,2180.142,-30.3071
254435.873,4864614.423,2161.501,-24.6577
251475.94,4865351.105,2137.706,-25.6359
285025.536,4871086.942,1851.2,-33.1813
314318.643,4834109.049,1622.8,0
314318.643,4834109.049,1622.8,0
314318.643,4834109.049,1622.8,0
300888.284,4854125.365,1742.026,-22.9416
301638.506,4854089.293,1727.693,-21.6354
301638.579,4854089.292,1727.724,-20.0081
302725.667,4854081.822,1710.958,-22.4865
304201.546,4854039.296,1702.854,-23.0119
304968.391,4854012.951,1700.328,-24.8837
306016.831,4853984.986,1696.704,-27.7425
307291.05,4853932.297,1692.321,-30.1373
