Easting (m),Northing (m),Elevation (m),Gravity Anomaly (mGal)
272746.619,4891423.306,2208.362,-24.348
272617.672,4891543.228,2188.993,-25.3217
272622.347,4891543.991,2189.175,-25.2385
272626.904,4891547.408,2189.182,-25.2747
272631.348,4891548.92,2189.353,-25.245
272636.745,4891549.532,2189.273,-25.3048
272641.388,4891550.912,2188.798,-25.2379
272647.005,4891552.233,2187.999,-25.2846
272651.31,4891554.191,2186.717,-25.2671
272655.733,4891555.804,2185.976,-25.3338
272661.11,4891557.027,2184.87,-25.417
272666.472,4891557.614,2184.152,-25.3444
272672.324,4891559.661,2184.036,-25.3817
272746.619,4891423.306,2208.362,-24.348
272677.716,4891562.465,2184.27,-25.3471
272683.805,4891565.091,2185.44,-25.2087
272689.063,4891566.344,2186.502,-25.229
272693.255,4891568.148,2187.158,-25.2376
272698.813,4891569.744,2187.854,-25.1802
272704.888,4891571.728,2188.645,-25.1514
272710.805,4891573.387,2189.68,-25.0712
272716.287,4891574.422,2190.719,-25.1457
272723.027,4891576.264,2192.16,-25.1412
272728.51,4891578.103,2193.927,-24.9813
272746.619,4891423.306,2208.362,-24.348
272732.361,4891580.995,2195.898,-24.9122
272738.381,4891583.44,2199.945,-24.7307
272741.951,4891585.482,2203.134,-24.5075
272747.247,4891587.681,2206.188,-24.5409
272750.125,4891588.061,2207.69,-24.4033
272754.379,4891589.753,2209.922,-24.3534
272758.542,4891590.784,2211.747,-24.0721
272763.203,4891592.29,2213.853,-24.0079
272767.362,4891594.339,2215.64,-23.9375
272772.093,4891595.553,2217.68,-23.7673
272776.122,4891596.836,2219.319,-23.7538
272779.789,4891598.021,2220.913,-23.9494
272784.491,4891599.314,2223.026,-23.865
272792.627,4891602.049,2226.777,-23.5497
272801.408,4891605.162,2231.258,-23.3062
272822.753,4891613.042,2242.477,-22.9116
269509.32,4887382.99,1914.1,-46.4797
269509.32,4887382.99,1914.1,-46.5897
272693.16,4891564.73,2185.785,-25.5383
272673.52,4891556.99,2182.439,-25.6636
272645.52,4891546.94,2186.853,-25.583
272627.06,4891541.17,2187.894,-25.5688
272598.59,4891531.55,2186.594,-25.6836
272551.05,4891515.75,2183.453,-26.0759
272503.71,4891501.09,2178.881,-26.4781
272456.31,4891486.56,2175.153,-26.837
272408.16,4891471.96,2170.719,-27.1836
272685.63,4891550.36,2187.981,-25.521
272686.01,4891561.47,2189.259,-25.6574
272766.38,4891569.81,2193.716,-24.8741
272766,4891558.71,2202.172,-24.9164
272766.76,4891580.92,2214.254,-24.3279
272766.76,4891580.92,2225.056,-24.1734
272088.39,4890492.32,2136.422,-29.8619
268911.85,4888990.59,1928.179,-48.8141
314318.643,4834109.049,1622.8,0
285025.536,4871086.942,1851.2,-33.1813
275919.083,4903826.688,2300.608,-22.9612
277234.658,4903589.289,2294.348,-21.8923
278202.749,4902886.715,2341.801,-23.0068
279161.263,4902090.876,2391.328,-22.7843
280097.123,4901454.703,2399.316,-22.6056
281159.104,4900462.963,2322.523,-24.4867
282856.916,4900043.169,2268.178,-30.5036
282618.552,4898357.907,2314.238,-28.7342
282492.226,4897547.81,2313.724,-27.8213
283282.141,4896974.918,2323.537,-24.9429
283086.006,4895739.575,2346.809,-24.3548
283151.395,4894672.147,2337.444,-24.9175
283436.248,4893409.387,2339.447,-25.407
283133.875,4892477.989,2397.498,-20.7635
282302.088,4891603.735,2413.359,-18.4686
281992.463,4890607.674,2452.518,-15.6983
314318.643,4834109.049,1622.8,0
314318.643,4834109.049,1622.8,0
303494.905,4834593.329,1652.757,-9.73936
304291.518,4834564.56,1645.838,-9.55561
305815.234,4834533.578,1633.957,-6.22122
307227.769,4834484.061,1633.189,-10.7419
309189.872,4834540.235,1648.489,-14.5469
310364.068,4834379.651,1642.764,-14.7591
311322.626,4834351.439,1630.103,-13.9666
311966.699,4834327.305,1623.243,-12.4355
313563.57,4834295.26,1612.063,-5.69764
314652.42,4834471.243,1630.144,0.274916
314318.643,4834109.049,1622.8,0
312839.321,4839289.087,1667.687,-2.18819
312134.488,4839166.777,1631.76,-9.19018
311717.871,4839182.145,1632.871,-11.8243
311228.103,4839196.662,1632.428,-13.3164
310619.308,4839214.387,1633.15,-13.5664
309440.613,4839243.696,1637.031,-12.8189
307675.383,4839343.257,1638.207,-13.1964
314318.643,4834109.049,1622.8,0
314318.643,4834109.049,1622.8,0
315152.982,4833460.866,1614.465,0.979716
315003.106,4833296.234,1606.935,-0.625357
314751.634,4833441.393,1607.656,-1.59368
314540.838,4833517.402,1607.899,-2.45234
314343.288,4833478.923,1607.168,-3.5534
313915.149,4833482.981,1609.246,-6.07908
314044.251,4833472.595,1608.843,-5.34903
313588.531,4833482.77,1609.701,-7.9079
312551.418,4833515.274,1611.303,-11.8802
314318.643,4834109.049,1622.8,0
314318.643,4834109.049,1622.8,0
306606.653,4832570.466,1623.241,-15.756
305067.704,4832957.262,1631.168,-16.7361
308297.416,4832853.944,1640.312,-12.0122
314318.643,4834109.049,1622.8,0
316246.717,4833441.448,1621.248,3.26502
317200.158,4833391.365,1625.641,3.5909
317621.731,4833396.525,1628.554,5.12262
317973.274,4833386.827,1628.635,6.73793
318803.642,4833365.881,1653.165,9.1656
319323.49,4833349.407,1673.672,11.294
320575.12,4835101.685,1842.818,12.7601
319912.315,4834289.851,1739.673,11.7791
314318.643,4834109.049,1622.8,0
285025.536,4871086.942,1851.2,-33.1813
275203.522,4864174.997,2507.578,-26.2612
274019.039,4863740.223,2452.929,-33.9253
273033.658,4863082.572,2421.549,-33.6596
272937.601,4861830.447,2411.762,-32.1885
271907.654,4860767.12,2381.607,-33.6473
270951.891,4859586.231,2364.399,-36.453
270418.97,4858487.686,2374.733,-37.2558
270593.445,4857457.13,2382.412,-38.7217
270805.986,4856277.344,2363.27,-40.292
269786.43,4857701.931,2326.922,-40.9774
268974.806,4859152.216,2302.05,-40.4721
267176.828,4860387.026,2265.508,-41.8953
265504.425,4861745.267,2254.762,-39.7218
263790.028,4863487.461,2228.053,-37.2783
260849.133,4864347.345,2202.261,-35.6712
257632.494,4864720.8,2180.142,-30.3071
254435.873,4864614.423,2161.501,-24.6577
251475.94,4865351.105,2137.706,-25.6359
285025.536,4871086.942,1851.2,-33.1813
314318.643,4834109.049,1622.8,0
314318.643,4834109.049,1622.8,0
314318.643,4834109.049,1622.8,0
300888.284,4854125.365,1742.026,-22.9416
301638.506,4854089.293,1727.693,-21.6354
301638.579,4854089.292,1727.724,-20.0081
302725.667,4854081.822,1710.958,-22.4865
304201.546,4854039.296,1702.854,-23.0119
304968.391,4854012.951,1700.328,-24.8837
306016.831,4853984.986,1696.704,-27.7425
307291.05,4853932.297,1692.321,-30.1373
308287.73,4853899.682,1689.638,-29.8714
308829.343,4853880.17,1688.105,-29.2035
314318.643,4834109.049,1622.8,0
314318.643,4834109.049,1622.8,0
285025.536,4871086.942,1851.2,-33.1813
264526.534,4900194.675,2076.548,-30.782
263008.959,4901445.782,2141.504,-25.7121
261784.303,4902739.007,2129.183,-24.401
260572.315,4904075.772,2055.603,-28.6967
259327.448,4905130.943,2001.212,-31.1231
258466.292,4906671.901,1982.03,-32.8531
257615.338,4908201.044,1930.237,-36.4904
257081.697,4909869.255,1906.794,-36.8154
256620.396,4911545.36,1879.501,-36.1497
256823.833,4913229.467,1839.077,-33.704
256607.059,4915021.061,1819.247,-28.05
255675.048,4916347.714,1792.589,-24.7638
254756.041,4917531.93,1734.993,-24.8094
254204.409,4919256.247,1724.169,-32.2608
253410.992,4920900.132,1703.434,-37.0436
285025.536,4871086.942,1851.2,-33.1813
285025.536,4871086.942,1851.2,-33.1813
269861.851,4894618.26,2055.196,-34.0237
268988.411,4895115.824,2011.979,-36.7078
268173.673,4895693.058,1985.59,-37.8173
267658.26,4896422.822,1989.113,-36.7825
267157.566,4897265.752,2002.989,-37.3299
266681.551,4898131.246,2029.477,-37.6163
257378.133,4910949.001,1907.622,-37.495
258160.006,4910349.929,1939.993,-39.1034
259009.64,4909833.206,1975.048,-40.5418
259979.192,4909505.03,2012.065,-39.0874
260868.511,4909077.394,2051.917,-36.4937
